,time,price,pchange,change,volume,amount,type
0,15:00:03,10.84,-3.30,-0.01,1529,1657436,中性盘
1,14:57:03,10.85,-3.21,0.01,34,36890,买盘
2,14:56:57,10.84,-3.30,-0.01,26,28184,卖盘
3,14:56:54,10.85,-3.21,0.0,1,1085,买盘
4,14:56:51,10.85,-3.21,0.0,35,37975,卖盘
5,14:56:48,10.85,-3.21,-0.01,149,161665,卖盘
6,14:56:45,10.86,-3.12,0.0,106,115116,买盘
7,14:56:39,10.86,-3.12,-0.01,106,115116,中性盘
8,14:56:36,10.87,-3.03,0.01,148,160876,买盘
9,14:56:30,10.86,-3.12,0.0,36,39096,中性盘
10,14:56:30,10.86,-3.12,0.0,36,39096,买盘
11,14:56:27,10.86,-3.12,0.0,24,26064,买盘
12,14:56:24,10.86,-3.12,-0.01,28,30408,中性盘
13,14:56:21,10.87,-3.03,0.01,124,134788,买盘
14,14:56:18,10.86,-3.12,-0.01,6,6516,卖盘
15,14:56:15,10.87,-3.03,0.03,37,40219,买盘
16,14:56:06,10.84,-3.30,-0.02,226,244984,卖盘
17,14:56:03,10.86,-3.12,0.01,341,370326,买盘
18,14:56:00,10.85,-3.21,0.0,95,103075,买盘
19,14:55:54,10.85,-3.21,0.0,41,44485,买盘
20,14:55:51,10.85,-3.21,0.0,15,16275,卖盘
21,14:55:48,10.85,-3.21,-0.01,352,381920,卖盘
22,14:55:45,10.86,-3.12,0.01,1,1086,买盘
23,14:55:42,10.85,-3.21,0.0,21,22785,卖盘
24,14:55:39,10.85,-3.21,0.0,25,27125,卖盘
25,14:55:36,10.85,-3.21,0.0,12,13020,卖盘
26,14:55:33,10.85,-3.21,0.0,82,88970,卖盘
27,14:55:30,10.85,-3.21,0.0,96,104160,买盘
28,14:55:27,10.85,-3.21,-0.01,28,30380,买盘
29,14:55:21,10.86,-3.12,0.0,62,67332,买盘
30,14:55:18,10.86,-3.12,0.0,16,17376,买盘
31,14:55:15,10.86,-3.12,0.01,31,33666,买盘
32,14:55:12,10.85,-3.21,0.0,32,34720,买盘
33,14:55:09,10.85,-3.21,-0.02,268,290780,卖盘
34,14:55:06,10.87,-3.03,0.0,96,104352,买盘
35,14:55:03,10.87,-3.03,0.01,6,6522,买盘
36,14:55:00,10.86,-3.12,-0.01,2,2172,中性盘
37,14:54:54,10.87,-3.03,0.0,24,26088,买盘
38,14:54:51,10.87,-3.03,0.0,27,29349,买盘
39,14:54:48,10.87,-3.03,0.0,84,91308,卖盘
40,14:54:45,10.87,-3.03,0.0,93,101091,卖盘
41,14:54:42,10.87,-3.03,0.0,274,297838,卖盘
42,14:54:39,10.87,-3.03,-0.01,61,66307,卖盘
43,14:54:36,10.88,-2.94,0.01,11,11968,买盘
44,14:54:33,10.87,-3.03,0.0,68,73916,卖盘
45,14:54:30,10.87,-3.03,-0.01,275,298925,卖盘
46,14:54:27,10.88,-2.94,0.0,233,253504,买盘
47,14:54:21,10.88,-2.94,0.0,20,21760,买盘
48,14:54:18,10.88,-2.94,0.0,13,14144,买盘
49,14:54:15,10.88,-2.94,0.0,28,30464,买盘
50,14:54:12,10.88,-2.94,0.0,14,15232,买盘
51,14:54:09,10.88,-2.94,0.0,169,183872,卖盘
52,14:54:06,10.88,-2.94,0.0,137,149056,卖盘
53,14:54:03,10.88,-2.94,0.0,93,101184,卖盘
54,14:54:00,10.88,-2.94,0.0,47,51136,卖盘
55,14:53:57,10.88,-2.94,-0.01,26,28288,卖盘
56,14:53:54,10.89,-2.85,0.01,48,52272,买盘
57,14:53:51,10.88,-2.94,0.0,25,27200,买盘
58,14:53:48,10.88,-2.94,0.0,27,29376,买盘
59,14:53:45,10.88,-2.94,0.03,142,154496,买盘
60,14:53:39,10.85,-3.21,-0.03,63,68355,卖盘
61,14:53:33,10.88,-2.94,0.03,6,6528,买盘
62,14:53:30,10.85,-3.21,0.0,290,314650,卖盘
63,14:53:27,10.85,-3.21,0.0,110,119350,卖盘
64,14:53:24,10.85,-3.21,0.0,135,146475,买盘
65,14:53:21,10.85,-3.21,0.01,92,99820,买盘
66,14:53:18,10.84,-3.30,0.0,30,32520,卖盘
67,14:53:12,10.84,-3.30,0.0,8,8672,卖盘
68,14:53:09,10.84,-3.30,0.01,130,140920,买盘
69,14:53:03,10.83,-3.39,0.0,64,69312,中性盘
70,14:53:03,10.83,-3.39,0.0,64,69312,卖盘
71,14:53:00,10.83,-3.39,0.0,74,80142,买盘
72,14:52:57,10.83,-3.39,0.01,19,20577,买盘
73,14:52:54,10.82,-3.48,-0.01,24,25968,卖盘
74,14:52:51,10.83,-3.39,0.0,25,27075,买盘
75,14:52:48,10.83,-3.39,0.01,8,8664,买盘
76,14:52:45,10.82,-3.48,0.01,15,16230,买盘
77,14:52:42,10.81,-3.57,-0.01,18,19458,卖盘
78,14:52:39,10.82,-3.48,0.01,39,42198,买盘
79,14:52:36,10.81,-3.57,0.0,67,72427,卖盘
80,14:52:33,10.81,-3.57,0.0,139,150259,买盘
81,14:52:30,10.81,-3.57,0.0,11,11891,买盘
82,14:52:27,10.81,-3.57,0.0,21,22701,买盘
83,14:52:24,10.81,-3.57,0.01,5,5405,买盘
84,14:52:21,10.8,-3.66,0.0,8,8640,卖盘
85,14:52:18,10.8,-3.66,-0.01,5,5400,卖盘
86,14:52:15,10.81,-3.57,0.01,91,98371,买盘
87,14:52:12,10.8,-3.66,0.0,70,75600,买盘
88,14:52:06,10.8,-3.66,0.0,44,47520,买盘
89,14:52:03,10.8,-3.66,0.0,25,27000,买盘
90,14:52:00,10.8,-3.66,0.01,10,10800,买盘
91,14:51:57,10.79,-3.75,0.0,1,1079,卖盘
92,14:51:54,10.79,-3.75,-0.01,12,12948,卖盘
93,14:51:51,10.8,-3.66,0.01,93,100440,买盘
94,14:51:48,10.79,-3.75,0.0,70,75530,买盘
95,14:51:45,10.79,-3.75,-0.01,30,32370,卖盘
96,14:51:42,10.8,-3.66,0.01,210,226800,买盘
97,14:51:36,10.79,-3.75,0.0,50,53950,卖盘
98,14:51:30,10.79,-3.75,0.01,41,44239,买盘
99,14:51:27,10.78,-3.84,0.0,10,10780,卖盘
100,14:51:24,10.78,-3.84,-0.01,33,35574,卖盘
101,14:51:21,10.79,-3.75,0.01,108,116532,买盘
102,14:51:18,10.78,-3.84,0.01,31,33418,中性盘
103,14:51:09,10.77,-3.93,-0.01,551,593427,卖盘
104,14:51:06,10.78,-3.84,0.01,12,12936,买盘
105,14:51:03,10.77,-3.93,-0.01,47,50619,卖盘
106,14:51:00,10.78,-3.84,0.0,9,9702,买盘
107,14:50:57,10.78,-3.84,0.0,151,162778,买盘
108,14:50:54,10.78,-3.84,0.01,5,5390,买盘
109,14:50:51,10.77,-3.93,0.0,7,7539,卖盘
110,14:50:48,10.77,-3.93,0.0,17,18309,卖盘
111,14:50:45,10.77,-3.93,0.0,153,164781,买盘
112,14:50:42,10.77,-3.93,0.0,38,40926,买盘
113,14:50:39,10.77,-3.93,0.01,42,45234,买盘
114,14:50:36,10.76,-4.01,0.0,42,45192,买盘
115,14:50:33,10.76,-4.01,-0.01,299,321724,卖盘
116,14:50:30,10.77,-3.93,0.0,340,366180,买盘
117,14:50:27,10.77,-3.93,0.01,25,26925,买盘
118,14:50:24,10.76,-4.01,0.0,100,107600,卖盘
119,14:50:21,10.76,-4.01,0.0,10,10760,卖盘
120,14:50:15,10.76,-4.01,0.0,290,312040,买盘
121,14:50:12,10.76,-4.01,0.0,60,64560,买盘
122,14:50:09,10.76,-4.01,0.0,76,81776,买盘
123,14:50:06,10.76,-4.01,0.0,82,88232,买盘
124,14:50:03,10.76,-4.01,0.0,11,11836,买盘
125,14:50:00,10.76,-4.01,0.0,42,45192,买盘
126,14:49:57,10.76,-4.01,0.0,101,108676,买盘
127,14:49:54,10.76,-4.01,0.0,16,17216,买盘
128,14:49:51,10.76,-4.01,0.0,101,108676,买盘
129,14:49:48,10.76,-4.01,0.0,182,195832,买盘
130,14:49:45,10.76,-4.01,0.0,56,60256,买盘
131,14:49:42,10.76,-4.01,0.0,71,76396,买盘
132,14:49:39,10.76,-4.01,0.0,131,140956,中性盘
133,14:49:39,10.76,-4.01,0.01,131,140956,买盘
134,14:49:36,10.75,-4.10,0.01,106,113950,买盘
135,14:49:33,10.74,-4.19,0.01,541,581034,买盘
136,14:49:30,10.73,-4.28,0.0,250,268250,卖盘
137,14:49:27,10.73,-4.28,-0.01,233,250009,卖盘
138,14:49:24,10.74,-4.19,0.01,203,218022,买盘
139,14:49:21,10.73,-4.28,0.0,117,125541,买盘
140,14:49:18,10.73,-4.28,0.01,68,72964,买盘
141,14:49:15,10.72,-4.37,-0.01,89,95408,卖盘
142,14:49:12,10.73,-4.28,0.0,75,80475,买盘
143,14:49:09,10.73,-4.28,-0.01,40,42920,卖盘
144,14:49:06,10.74,-4.19,0.0,166,178284,买盘
145,14:49:03,10.74,-4.19,0.02,236,253464,买盘
146,14:49:00,10.72,-4.37,-0.01,81,86832,中性盘
147,14:48:57,10.73,-4.28,0.0,136,145928,买盘
148,14:48:54,10.73,-4.28,0.0,215,230695,买盘
149,14:48:51,10.73,-4.28,0.01,216,231768,买盘
150,14:48:48,10.72,-4.37,-0.01,45,48240,卖盘
151,14:48:45,10.73,-4.28,0.0,49,52577,买盘
152,14:48:42,10.73,-4.28,0.02,26,27898,买盘
153,14:48:39,10.71,-4.46,-0.02,24,25704,中性盘
154,14:48:36,10.73,-4.28,0.0,500,536500,买盘
155,14:48:33,10.73,-4.28,0.01,20,21460,买盘
156,14:48:27,10.72,-4.37,0.0,68,72896,买盘
157,14:48:24,10.72,-4.37,0.0,87,93264,买盘
158,14:48:21,10.72,-4.37,0.01,7,7504,买盘
159,14:48:18,10.71,-4.46,-0.01,19,20349,卖盘
160,14:48:15,10.72,-4.37,0.0,32,34304,买盘
161,14:48:12,10.72,-4.37,0.0,50,53600,买盘
162,14:48:09,10.72,-4.37,0.01,14,15008,买盘
163,14:48:06,10.71,-4.46,-0.01,8,8568,卖盘
164,14:48:03,10.72,-4.37,-0.01,36,38592,卖盘
